review_id,relative_path,source_condition,boxes_count,face_region_plausibility,obvious_artefact,scene_consistency,identity_suppression_appearance,apparent_visual_consistency,background_preservation,text_screen_unintended_distortion,severe_failure,acceptable_for_thesis_figure_demo,oapr_eligible,review_note,adjudication_rule
81,day2/members/bjorn/19_0429.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
82,day1/members/luca/12_0168.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
83,day4/members/onanong/12_0450.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
84,day2/members/cathal/12_0044.webp,manifest_fill,2,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
85,day3/members/klaus/15_0375.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
86,day1/members/onanong/10_0201.webp,manifest_fill,4,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
87,day2/members/florian/14_0324.webp,manifest_fill,9,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
88,day4/members/bao/11_0549.webp,manifest_fill,9,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
89,day3/members/florian/12_0302.webp,manifest_fill,1,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
90,day3/members/allie/12_0570.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
91,day3/members/tien/09_0391.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
92,day4/members/luca/10_0077.webp,manifest_fill,1,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
93,day3/members/stevan/20_0090.webp,manifest_fill,0,not_applicable_no_face_or_no_box,none_for_face_region,preserved,not_applicable_no_face_or_no_box,not_applicable,good,not_observed_from_sheet,no,no_face_context_only,copy_or_other_multimodal_only,No face box in comparable manifest; output appears scene-preserving/copy-through under face-method contract.,pass2_conservative_label_used
94,day3/members/klaus/18_0283.webp,manifest_fill,7,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
95,day4/members/bjorn/08_0670.webp,manifest_fill,1,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
96,day3/members/luca/18_0517.webp,manifest_fill,5,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
97,day1/members/onanong/14_0049.webp,manifest_fill,1,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
98,day1/members/luca/15_0372.webp,manifest_fill,3,low_to_medium,possible_partial_or_profile_artifact,preserved_outside_face,partial_or_condition_dependent,uncertain,good,not_observed_from_sheet,possible,not_preferred,conditional_only_with_quality_gate,"Output is not universally bad, but profile/partial/blur/box conditions make visual quality uncertain.",pass2_conservative_label_used
99,day4/members/cathal/13_0418.webp,manifest_fill,5,low,mask_patch_or_synthetic_region,mostly_preserved_outside_face,strong_but_visibly_artificial_or_incomplete,poor_or_not_assessable,good_outside_edit,not_observed_from_sheet,yes,failure_example_only,no_except_failure_avoidance_negative_evidence,"Edited face region looks mask-like, patch-like, misplaced, or visually inconsistent for egocentric use.",pass2_conservative_label_used
100,day1/members/bjorn/10_0088.webp,manifest_fill,4,medium,low_or_not_obvious_from_sheet,preserved,moderate_to_strong,bounded_but_acceptable_from_sheet,good,not_observed_from_sheet,no,possible_bounded_example,conditional_clear_frontal_or_large_face_only,"One of the more visually acceptable cases, but still not evidence of production-grade demographic or scene realism.",pass2_conservative_label_used
